"#","names","directories","types","file_extensions","sizes_in_bytes","CRC-32"
1,"AcanthopleuraJaponica_20210311_1c.JPG","YSCollection07_18-IMG_04_v2.0","file",".JPG",3353299,"6ea941"
2,"AcanthopleuraJaponica_20210928_2a.JPG","YSCollection07_18-IMG_04_v2.0","file",".JPG",3301412,"e1951591"
3,"SerpulorbisImbricatusBody_20140510p10_1b.JPG","YSCollection07_18-IMG_04_v2.0","file",".JPG",3303518,"e75f10ab"
4,"SerpulorbisImbricatusBody_20140510p10_1d.JPG","YSCollection07_18-IMG_04_v2.0","file",".JPG",3403673,"134afe80"
5,"AcanthopleuraJaponica_20210311_1d.JPG","YSCollection07_18-IMG_04_v2.0","file",".JPG",3365836,"6b6b9e07"
6,"SerpulorbisImbricatusBody_20140510p10_1e.JPG","YSCollection07_18-IMG_04_v2.0","file",".JPG",3351670,"4025ee68"
7,"Vertebrae_20200903_1a.JPG","YSCollection07_18-IMG_04_v2.0","file",".JPG",3278582,"9a6987c9"
8,"SerpulorbisImbricatus_body_20140510p1_ref.txt","YSCollection07_18-IMG_04_v2.0","file",".txt",236,"6ccca239"
9,"SerpulorbisImbricatusBody_20140510p10_1c.JPG","YSCollection07_18-IMG_04_v2.0","file",".JPG",3286587,"e2c64895"
10,"AcanthopleuraJaponica_20210928_4a.JPG","YSCollection07_18-IMG_04_v2.0","file",".JPG",3284933,"de96b59b"
11,"AcanthopleuraJaponica_20210928_3a.JPG","YSCollection07_18-IMG_04_v2.0","file",".JPG",3244483,"9202d5b1"
12,"AcanthopleuraJaponica_20210928_5a.JPG","YSCollection07_18-IMG_04_v2.0","file",".JPG",3296134,"1a505158"
13,"AcanthopleuraJaponica_20210928_1a.JPG","YSCollection07_18-IMG_04_v2.0","file",".JPG",3335786,"7c0f5aed"
14,"YSCollection_footer.md","YSCollection07_18-IMG_04_v2.0","file",".md",765,"c420381c"
15,"AcanthopleuraJaponica_20210928_1b.JPG","YSCollection07_18-IMG_04_v2.0","file",".JPG",3325868,"e891a77c"
16,"Acanthopleura_20210311_ref.txt","YSCollection07_18-IMG_04_v2.0","file",".txt",147,"b9863d07"
17,"Majoidea_20201025_1a.JPG","YSCollection07_18-IMG_04_v2.0","file",".JPG",3310196,"f16826ba"
18,"AcanthopleuraJaponica_20210311_1b.JPG","YSCollection07_18-IMG_04_v2.0","file",".JPG",3377822,"ecca7965"
19,"SerpulorbisImbricatusBody_20140510p10_1a.JPG","YSCollection07_18-IMG_04_v2.0","file",".JPG",3302862,"221342de"
20,"README.md","YSCollection07_18-IMG_04_v2.0","file",".md",938,"9344b881"
21,"SerpulorbisImbricatusBody_20140510p10_1f.JPG","YSCollection07_18-IMG_04_v2.0","file",".JPG",3304181,"38e9e0e1"
22,"LICENSE","YSCollection07_18-IMG_04_v2.0","file","",1066,"c785a9b9"
23,"AcanthopleuraJaponica_20210311_1a.JPG","YSCollection07_18-IMG_04_v2.0","file",".JPG",3275466,"595b258c"